employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
retired,<5000,0,"['education', 'Buying house', 'vacation']",223861,20,low,intermediate,5000-10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.6%
retired,<5000,5000-10000,"['Buying house', 'retirement', 'vacation']",50705,13,low,intermediate,0,0,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.5%
unemployed,<5000,0,"['Buying house', 'vacation', 'education']",296416,11,low,intermediate,>10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.1%
student,<5000,>10000,"['retirement', 'emergency fund', 'vacation']",389647,4,moderate,beginner,>10000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.4%
employed,0,5000-10000,"['education', 'retirement', 'emergency fund']",381789,14,moderate,advanced,<5000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.6%
employed,<5000,<5000,"['vacation', 'education', 'retirement']",190292,14,moderate,beginner,>10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.5%
retired,<5000,>10000,"['retirement', 'Buying house', 'vacation']",182396,12,high,intermediate,0,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,23.7%
self-employed,>10000,<5000,"['education', 'emergency fund', 'retirement']",331082,2,low,intermediate,>10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.4%
self-employed,5000-10000,0,"['retirement', 'education', 'Buying house']",429356,14,high,intermediate,5000-10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.2%
employed,<5000,5000-10000,"['education', 'vacation', 'retirement']",88691,4,moderate,intermediate,0,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.7%
student,5000-10000,<5000,"['vacation', 'education', 'Buying house']",440545,16,low,beginner,>10000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.3%
employed,<5000,0,"['vacation', 'retirement', 'education']",403410,5,low,beginner,5000-10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.2%
employed,0,>10000,"['education', 'emergency fund', 'retirement']",41431,11,high,beginner,0,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.1%
self-employed,5000-10000,0,"['vacation', 'retirement', 'Buying house']",144970,20,high,advanced,>10000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.4%
unemployed,<5000,>10000,"['education', 'emergency fund', 'vacation']",74060,18,moderate,intermediate,<5000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.8%
self-employed,<5000,5000-10000,"['retirement', 'Buying house', 'education']",228270,17,low,advanced,5000-10000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,16.5%
retired,>10000,>10000,"['retirement', 'education', 'vacation']",147905,17,low,intermediate,5000-10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,5.0%
retired,<5000,0,"['emergency fund', 'Buying house', 'education']",231693,7,low,advanced,0,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.5%
student,<5000,<5000,"['vacation', 'education', 'Buying house']",100336,8,moderate,beginner,5000-10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,11.0%
student,5000-10000,>10000,"['emergency fund', 'education', 'Buying house']",301019,13,low,beginner,0,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.3%
unemployed,<5000,<5000,"['emergency fund', 'Buying house', 'education']",285677,2,moderate,advanced,5000-10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.6%
retired,<5000,0,"['emergency fund', 'Buying house', 'education']",494852,1,moderate,intermediate,5000-10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.1%
unemployed,>10000,5000-10000,"['emergency fund', 'Buying house', 'retirement']",261366,9,low,advanced,>10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.1%
unemployed,5000-10000,5000-10000,"['emergency fund', 'education', 'retirement']",21307,2,high,beginner,5000-10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.7%
student,0,0,"['emergency fund', 'retirement', 'vacation']",411346,15,low,beginner,<5000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.3%
student,5000-10000,0,"['education', 'retirement', 'vacation']",65297,2,moderate,intermediate,5000-10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,20.2%
employed,5000-10000,0,"['education', 'emergency fund', 'Buying house']",474589,20,high,advanced,>10000,>10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,19.7%
student,<5000,0,"['Buying house', 'retirement', 'emergency fund']",291856,10,low,intermediate,<5000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,20.7%
retired,5000-10000,5000-10000,"['education', 'retirement', 'vacation']",43019,2,low,beginner,<5000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,24.4%
retired,<5000,0,"['vacation', 'retirement', 'Buying house']",106240,12,low,beginner,<5000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.7%
student,<5000,0,"['Buying house', 'retirement', 'vacation']",21768,5,moderate,intermediate,>10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.7%
unemployed,>10000,5000-10000,"['education', 'Buying house', 'vacation']",273181,17,moderate,intermediate,<5000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.3%
self-employed,0,<5000,"['vacation', 'education', 'Buying house']",24944,7,low,beginner,5000-10000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,14.5%
employed,0,0,"['vacation', 'retirement', 'Buying house']",381860,17,high,advanced,<5000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,17.3%
student,<5000,>10000,"['emergency fund', 'vacation', 'retirement']",294905,2,high,beginner,5000-10000,>10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,21.7%
unemployed,0,<5000,"['Buying house', 'emergency fund', 'retirement']",224562,8,low,intermediate,0,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,21.1%
self-employed,0,0,"['retirement', 'vacation', 'education']",496777,12,moderate,beginner,<5000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.4%
employed,>10000,<5000,"['retirement', 'emergency fund', 'vacation']",247473,10,moderate,beginner,>10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,15.2%
student,0,>10000,"['vacation', 'retirement', 'emergency fund']",317509,9,low,beginner,5000-10000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.2%
student,5000-10000,<5000,"['Buying house', 'retirement', 'education']",431021,1,high,beginner,5000-10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.7%
unemployed,<5000,<5000,"['Buying house', 'education', 'vacation']",84431,4,moderate,beginner,5000-10000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.9%
retired,>10000,5000-10000,"['vacation', 'education', 'retirement']",262095,1,high,advanced,<5000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,11.3%
unemployed,0,<5000,"['education', 'emergency fund', 'retirement']",106818,6,low,beginner,<5000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.2%
unemployed,>10000,5000-10000,"['vacation', 'emergency fund', 'education']",356576,7,low,intermediate,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.7%
unemployed,5000-10000,>10000,"['education', 'emergency fund', 'Buying house']",311184,11,high,advanced,5000-10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.1%
self-employed,>10000,<5000,"['vacation', 'emergency fund', 'retirement']",217671,1,low,advanced,>10000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.1%
unemployed,>10000,<5000,"['Buying house', 'education', 'retirement']",353514,4,high,intermediate,<5000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.0%
retired,>10000,5000-10000,"['Buying house', 'retirement', 'education']",354434,5,moderate,advanced,5000-10000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.0%
unemployed,<5000,>10000,"['emergency fund', 'education', 'Buying house']",239947,19,moderate,beginner,>10000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.9%
unemployed,<5000,5000-10000,"['emergency fund', 'Buying house', 'education']",132651,8,moderate,beginner,0,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.5%
student,>10000,<5000,"['education', 'vacation', 'Buying house']",182316,18,low,intermediate,5000-10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.0%
employed,>10000,>10000,"['education', 'emergency fund', 'Buying house']",54357,19,low,intermediate,5000-10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,23.8%
retired,<5000,>10000,"['emergency fund', 'retirement', 'Buying house']",238573,14,low,advanced,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.7%
retired,5000-10000,0,"['education', 'emergency fund', 'vacation']",125758,8,high,advanced,<5000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.2%
employed,>10000,5000-10000,"['vacation', 'Buying house', 'education']",376558,1,low,intermediate,<5000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
unemployed,>10000,<5000,"['education', 'vacation', 'emergency fund']",67082,18,moderate,beginner,0,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.9%
unemployed,5000-10000,5000-10000,"['education', 'retirement', 'emergency fund']",323336,3,moderate,intermediate,0,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,8.0%
unemployed,5000-10000,5000-10000,"['emergency fund', 'vacation', 'education']",466139,4,low,intermediate,5000-10000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.5%
student,<5000,0,"['vacation', 'Buying house', 'emergency fund']",137822,12,high,advanced,<5000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.8%
employed,0,<5000,"['Buying house', 'education', 'vacation']",77898,19,low,beginner,0,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,20.9%
employed,<5000,5000-10000,"['vacation', 'education', 'emergency fund']",164090,9,moderate,advanced,>10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.4%
unemployed,5000-10000,<5000,"['vacation', 'retirement', 'emergency fund']",190767,4,low,beginner,>10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.9%
retired,0,5000-10000,"['education', 'emergency fund', 'vacation']",449152,14,low,beginner,<5000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.4%
unemployed,<5000,5000-10000,"['vacation', 'emergency fund', 'retirement']",474802,8,high,beginner,>10000,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.3%
unemployed,0,0,"['emergency fund', 'vacation', 'education']",210820,3,moderate,advanced,>10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.7%
unemployed,>10000,5000-10000,"['vacation', 'education', 'emergency fund']",203281,12,high,beginner,0,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.7%
unemployed,0,0,"['emergency fund', 'Buying house', 'vacation']",410498,2,low,beginner,>10000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.5%
self-employed,>10000,>10000,"['retirement', 'emergency fund', 'Buying house']",154942,3,high,advanced,<5000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,16.4%
student,5000-10000,<5000,"['emergency fund', 'Buying house', 'retirement']",445813,14,moderate,advanced,0,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.5%
retired,<5000,>10000,"['retirement', 'Buying house', 'vacation']",457671,13,moderate,advanced,0,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.7%
employed,0,>10000,"['vacation', 'retirement', 'education']",248029,18,high,advanced,0,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,8.0%
retired,0,5000-10000,"['retirement', 'education', 'emergency fund']",261358,13,moderate,intermediate,<5000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.9%
employed,>10000,>10000,"['emergency fund', 'retirement', 'education']",453106,3,moderate,intermediate,>10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.0%
student,<5000,5000-10000,"['vacation', 'emergency fund', 'retirement']",431025,14,high,beginner,5000-10000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.1%
unemployed,5000-10000,<5000,"['Buying house', 'vacation', 'education']",89721,20,moderate,intermediate,>10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.6%
unemployed,>10000,>10000,"['vacation', 'education', 'Buying house']",494315,17,high,beginner,<5000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,24.6%
student,0,>10000,"['retirement', 'Buying house', 'education']",126263,7,moderate,advanced,>10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.9%
self-employed,>10000,5000-10000,"['education', 'emergency fund', 'Buying house']",152831,14,moderate,advanced,5000-10000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.1%
unemployed,0,0,"['vacation', 'education', 'Buying house']",352279,2,high,beginner,0,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.2%
retired,>10000,5000-10000,"['emergency fund', 'retirement', 'vacation']",142540,1,low,beginner,0,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.4%
student,0,0,"['education', 'vacation', 'Buying house']",416271,12,low,advanced,5000-10000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.0%
retired,5000-10000,>10000,"['education', 'Buying house', 'retirement']",413724,12,low,beginner,<5000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.1%
unemployed,0,0,"['emergency fund', 'retirement', 'vacation']",145873,19,low,beginner,>10000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,13.5%
self-employed,>10000,>10000,"['vacation', 'education', 'retirement']",117867,4,moderate,intermediate,<5000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,18.1%
self-employed,5000-10000,5000-10000,"['Buying house', 'retirement', 'education']",316584,19,moderate,advanced,5000-10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.0%
employed,0,5000-10000,"['retirement', 'vacation', 'Buying house']",203133,10,moderate,advanced,5000-10000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.4%
student,>10000,<5000,"['emergency fund', 'Buying house', 'vacation']",309401,18,moderate,intermediate,<5000,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,12.7%
employed,5000-10000,<5000,"['Buying house', 'education', 'retirement']",391978,6,high,intermediate,<5000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.6%
unemployed,0,5000-10000,"['vacation', 'Buying house', 'retirement']",160787,6,low,intermediate,0,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.0%
employed,5000-10000,>10000,"['education', 'emergency fund', 'retirement']",189634,19,low,beginner,0,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,16.4%
student,0,<5000,"['Buying house', 'retirement', 'education']",257467,1,moderate,advanced,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.2%
employed,<5000,5000-10000,"['Buying house', 'retirement', 'education']",248718,3,low,beginner,0,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.4%
retired,0,5000-10000,"['retirement', 'Buying house', 'education']",417748,4,moderate,beginner,>10000,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.2%
retired,>10000,0,"['retirement', 'Buying house', 'emergency fund']",381320,4,moderate,advanced,0,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.8%
self-employed,<5000,0,"['Buying house', 'retirement', 'emergency fund']",433615,2,moderate,intermediate,>10000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.5%
retired,5000-10000,>10000,"['Buying house', 'emergency fund', 'retirement']",385001,7,low,advanced,>10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.3%
unemployed,0,5000-10000,"['education', 'vacation', 'retirement']",329758,19,high,advanced,0,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,14.3%
student,0,5000-10000,"['retirement', 'Buying house', 'emergency fund']",158733,9,moderate,advanced,>10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.0%
employed,>10000,0,"['education', 'retirement', 'emergency fund']",497616,1,low,advanced,0,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.9%
retired,<5000,5000-10000,"['Buying house', 'retirement', 'vacation']",487513,16,moderate,beginner,<5000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.1%
retired,>10000,>10000,"['education', 'Buying house', 'emergency fund']",40583,17,low,intermediate,<5000,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.6%
unemployed,0,5000-10000,"['Buying house', 'retirement', 'vacation']",476591,19,moderate,advanced,<5000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.1%
retired,>10000,5000-10000,"['emergency fund', 'education', 'Buying house']",27649,12,moderate,beginner,>10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.0%
employed,>10000,<5000,"['vacation', 'education', 'retirement']",458538,20,low,beginner,5000-10000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.5%
unemployed,0,5000-10000,"['retirement', 'emergency fund', 'vacation']",360018,3,high,intermediate,>10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.2%
unemployed,>10000,5000-10000,"['retirement', 'vacation', 'emergency fund']",304324,3,low,advanced,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.8%
employed,>10000,5000-10000,"['Buying house', 'education', 'vacation']",384771,14,low,advanced,0,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.5%
student,<5000,<5000,"['vacation', 'Buying house', 'emergency fund']",494182,18,high,beginner,5000-10000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.1%
self-employed,5000-10000,<5000,"['vacation', 'Buying house', 'education']",123941,5,moderate,advanced,5000-10000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.1%
employed,>10000,>10000,"['retirement', 'education', 'emergency fund']",305027,17,moderate,beginner,0,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.9%
self-employed,>10000,5000-10000,"['Buying house', 'vacation', 'retirement']",395597,17,moderate,intermediate,5000-10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,20.3%
self-employed,>10000,>10000,"['emergency fund', 'education', 'retirement']",199618,7,high,beginner,0,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.1%
employed,0,<5000,"['emergency fund', 'education', 'Buying house']",223718,3,high,advanced,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,21.5%
unemployed,5000-10000,>10000,"['education', 'retirement', 'Buying house']",433200,18,moderate,advanced,>10000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.2%
self-employed,<5000,>10000,"['retirement', 'emergency fund', 'Buying house']",260880,3,moderate,beginner,<5000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
self-employed,<5000,5000-10000,"['education', 'Buying house', 'vacation']",237746,11,low,intermediate,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.7%
self-employed,<5000,<5000,"['education', 'emergency fund', 'Buying house']",444587,7,high,intermediate,5000-10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.6%
unemployed,<5000,5000-10000,"['education', 'emergency fund', 'vacation']",354198,12,high,beginner,<5000,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.0%
employed,5000-10000,5000-10000,"['vacation', 'Buying house', 'emergency fund']",312035,13,moderate,advanced,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,19.4%
retired,0,<5000,"['retirement', 'vacation', 'education']",427698,5,high,intermediate,5000-10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.1%
student,>10000,>10000,"['vacation', 'retirement', 'education']",261246,13,high,beginner,0,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.8%
employed,<5000,5000-10000,"['retirement', 'education', 'emergency fund']",395711,12,moderate,intermediate,0,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.2%
retired,>10000,5000-10000,"['education', 'Buying house', 'retirement']",196134,7,moderate,intermediate,>10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.3%
employed,5000-10000,5000-10000,"['retirement', 'education', 'Buying house']",495932,2,moderate,intermediate,5000-10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.6%
employed,>10000,5000-10000,"['Buying house', 'education', 'retirement']",221555,19,moderate,advanced,0,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.0%
employed,5000-10000,0,"['education', 'Buying house', 'retirement']",97373,3,high,beginner,0,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.8%
employed,5000-10000,>10000,"['emergency fund', 'education', 'retirement']",187666,5,high,advanced,>10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.7%
self-employed,>10000,<5000,"['retirement', 'emergency fund', 'education']",407232,20,low,beginner,<5000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.9%
employed,<5000,5000-10000,"['vacation', 'retirement', 'emergency fund']",175571,14,high,intermediate,>10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,16.5%
self-employed,>10000,<5000,"['emergency fund', 'Buying house', 'education']",42159,18,high,beginner,5000-10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,14.5%
unemployed,0,0,"['Buying house', 'emergency fund', 'vacation']",166298,13,moderate,advanced,0,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,16.7%
student,<5000,>10000,"['retirement', 'education', 'emergency fund']",483604,2,moderate,intermediate,5000-10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.8%
student,<5000,<5000,"['emergency fund', 'vacation', 'retirement']",24812,2,moderate,beginner,5000-10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,16.6%
employed,<5000,5000-10000,"['retirement', 'education', 'Buying house']",318520,3,moderate,beginner,>10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.2%
self-employed,5000-10000,<5000,"['retirement', 'emergency fund', 'education']",361762,11,moderate,intermediate,5000-10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.7%
retired,0,<5000,"['Buying house', 'vacation', 'education']",456688,19,moderate,intermediate,5000-10000,>10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.7%
employed,>10000,<5000,"['Buying house', 'emergency fund', 'vacation']",98821,19,high,advanced,0,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.1%
self-employed,>10000,<5000,"['vacation', 'education', 'retirement']",228708,13,high,intermediate,>10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.5%
retired,0,0,"['vacation', 'emergency fund', 'education']",219982,18,moderate,intermediate,0,<5000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,10.5%
employed,5000-10000,>10000,"['vacation', 'emergency fund', 'education']",287954,13,moderate,intermediate,>10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,12.2%
unemployed,>10000,0,"['Buying house', 'retirement', 'vacation']",491151,19,low,intermediate,<5000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.2%
student,<5000,5000-10000,"['emergency fund', 'retirement', 'education']",104532,1,high,advanced,>10000,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,12.1%
self-employed,5000-10000,0,"['retirement', 'emergency fund', 'vacation']",89242,8,high,intermediate,<5000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.1%
self-employed,>10000,<5000,"['Buying house', 'education', 'vacation']",405982,2,high,intermediate,<5000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.1%
unemployed,5000-10000,>10000,"['vacation', 'emergency fund', 'Buying house']",335804,2,low,beginner,5000-10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,24.6%
unemployed,<5000,>10000,"['education', 'Buying house', 'vacation']",185305,3,low,intermediate,0,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.1%
student,>10000,<5000,"['education', 'Buying house', 'vacation']",71672,6,high,advanced,0,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.5%
employed,>10000,<5000,"['Buying house', 'emergency fund', 'education']",362892,16,low,intermediate,0,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.4%
